CUST_ID,TENURE,BALANCE_interval,PURCHASES_interval,ONEOFF_PURCHASES_interval,INSTALLMENTS_PURCHASES_interval,CASH_ADVANCE_interval,CREDIT_LIMIT_interval,PAYMENTS_interval,MINIMUM_PAYMENTS_interval,PURCHASES_TRX_interval,CASH_ADVANCE_TRX_interval,BALANCE_FREQUENCY_interval,PURCHASES_FREQUENCY_interval,ONEOFF_PURCHASES_FREQUENCY_interval,PURCHASES_INSTALLMENTS_FREQUENCY_interval,CASH_ADVANCE_FREQUENCY_interval,PRC_FULL_PAYMENT_interval,Cluster
C11868,8.0,3,1,1,1,2,3,2,1,2,2,10,4,3,4,3,0,1
C11869,12.0,3,1,1,1,0,5,3,1,1,0,10,1,1,1,0,1,0
C11870,12.0,5,0,0,0,3,5,3,3,0,2,10,0,0,0,6,0,1
C11871,12.0,3,0,0,0,0,5,5,2,0,3,10,0,0,0,3,2,1
C11872,12.0,1,1,1,0,0,0,1,1,1,0,10,1,1,0,0,0,0
C11873,12.0,3,2,2,0,3,3,2,1,5,1,10,8,8,0,1,0,0
C11874,12.0,1,3,2,1,0,5,3,1,5,0,10,10,6,10,0,6,5
C11875,12.0,3,3,2,2,0,3,2,3,5,0,10,7,5,5,0,0,5
C11876,12.0,3,1,1,0,1,3,2,3,1,2,10,1,1,0,4,0,1
C11877,12.0,5,5,0,3,3,6,0,3,8,5,10,10,10,10,9,0,4
C11878,12.0,0,0,0,0,3,0,2,2,0,1,10,0,0,0,2,0,1
C11879,12.0,1,0,0,0,1,3,0,1,0,1,1,0,0,0,1,0,3
C11880,12.0,3,1,1,1,0,3,2,3,2,0,10,6,2,5,0,0,0
C11881,12.0,1,2,1,2,0,5,2,1,5,0,10,10,2,10,0,8,2
C11882,12.0,3,1,0,1,1,3,3,2,4,1,10,9,0,8,2,0,2
C11883,12.0,1,3,3,1,0,0,2,1,2,0,10,5,4,2,0,0,0
C11884,12.0,5,0,3,3,0,5,3,3,7,0,10,10,9,10,0,0,5
C11885,12.0,1,0,0,0,3,0,1,1,0,1,3,0,0,0,2,0,3
C11886,12.0,1,3,2,1,1,0,3,1,5,1,10,10,10,8,1,5,5
C11887,12.0,0,3,3,2,0,5,3,3,0,0,10,10,8,7,0,0,5
C11888,11.0,1,2,0,2,0,3,1,1,2,0,10,9,0,9,0,0,2
C11889,12.0,5,2,2,1,3,5,3,0,5,2,10,7,2,7,2,0,4
C11890,12.0,1,1,1,0,0,3,2,1,1,0,4,1,1,0,0,0,3
C11892,12.0,0,0,0,0,3,0,3,3,0,2,10,0,0,0,3,0,1
C11893,12.0,5,1,1,0,5,6,3,3,1,2,10,1,1,0,4,0,1
C11894,12.0,1,1,0,1,0,5,1,1,2,0,6,5,0,5,0,6,3
C11895,12.0,1,2,2,1,0,5,3,1,4,0,9,8,5,6,0,10,5
C11896,12.0,5,2,0,2,3,6,3,3,5,1,10,7,0,7,2,0,4
C11897,12.0,3,5,3,3,0,5,0,0,7,0,10,10,9,10,0,0,5
C11898,12.0,2,2,1,2,0,6,3,1,3,0,5,6,1,6,0,0,2
C11899,12.0,1,2,1,2,0,5,2,1,2,0,7,6,1,5,0,10,2
C11900,12.0,2,1,0,1,0,2,3,6,2,0,10,5,0,5,0,1,0
C11901,12.0,3,2,2,1,1,3,2,3,4,1,10,8,8,2,2,0,5
C11902,12.0,5,1,0,1,2,5,0,3,4,1,10,7,0,7,1,0,4
C11903,12.0,0,0,0,3,0,0,5,3,0,0,10,10,3,10,0,0,2
C11904,12.0,0,1,0,1,0,3,1,1,3,0,0,10,0,10,0,0,3
C11905,12.0,3,3,3,3,0,2,3,0,0,0,10,10,4,10,0,0,5
C11906,12.0,5,3,3,3,1,6,3,3,0,1,10,10,9,10,3,0,5
C11907,10.0,1,0,0,0,1,3,2,1,0,1,5,0,0,0,1,0,3
C11908,12.0,1,2,1,2,0,3,2,2,2,0,10,5,4,2,0,3,0
C11909,12.0,1,2,2,0,0,3,1,1,3,0,10,10,10,0,0,4,5
C11910,12.0,1,1,1,0,0,0,2,1,3,0,10,7,7,0,0,0,0
C11911,12.0,3,1,1,0,0,3,2,2,1,0,10,1,1,0,0,0,0
C11912,12.0,5,5,3,3,3,6,6,5,8,3,10,10,6,10,2,1,4
C11913,12.0,3,2,2,0,2,3,2,2,4,1,10,7,7,0,2,0,0
C11914,11.0,3,1,1,0,1,5,2,2,1,1,10,1,1,0,1,0,1
C11915,12.0,3,1,0,1,1,3,2,3,1,2,10,2,0,2,4,0,1
C11916,12.0,2,1,1,1,0,0,1,1,0,0,10,10,3,10,0,0,2
C11917,11.0,0,0,0,0,5,5,2,3,0,2,10,0,0,0,2,0,1
C11918,12.0,0,3,3,2,1,6,2,2,0,1,10,10,8,10,1,0,5
C11919,12.0,5,0,0,0,0,6,3,3,0,3,10,0,0,0,7,0,1
C11920,12.0,1,1,1,1,1,5,1,1,2,1,10,5,3,2,1,3,0
C11921,12.0,1,2,0,2,0,3,1,1,5,0,10,10,0,10,0,0,2
C11922,12.0,1,3,0,3,0,0,3,1,0,0,10,10,0,10,0,10,2
C11924,12.0,2,1,0,1,2,3,3,1,5,1,10,9,0,8,2,0,2
C11925,12.0,1,2,1,1,0,3,2,1,1,0,5,5,2,2,0,0,3
C11926,12.0,0,2,2,1,0,6,3,3,5,1,10,10,7,5,4,0,5
C11927,12.0,1,1,0,1,0,3,2,1,4,0,10,10,0,10,0,0,2
C11928,10.0,3,0,0,0,3,3,2,2,0,1,5,0,0,0,1,0,1
C11929,12.0,5,3,2,3,0,6,0,3,0,2,10,10,4,10,1,0,4
C11930,12.0,1,2,0,2,0,5,3,1,1,0,3,3,0,2,0,10,3
C11931,12.0,3,0,0,0,1,3,1,2,0,1,10,0,0,0,2,0,1
C11932,12.0,3,0,0,0,0,0,3,2,1,0,10,5,5,0,0,0,0
C11933,12.0,1,3,3,2,0,6,3,1,5,0,9,8,7,6,0,5,5
C11934,12.0,2,0,0,0,3,3,0,1,0,1,10,0,0,0,2,2,1
C11935,12.0,1,1,1,1,0,2,1,1,2,0,10,8,1,8,0,3,2
C11936,12.0,3,0,0,0,2,3,2,1,0,1,10,0,0,0,2,0,1
C11937,12.0,2,2,1,2,0,3,1,1,3,0,10,9,3,7,0,0,2
C11938,12.0,1,1,0,1,0,5,1,1,3,0,10,7,0,6,0,0,2
C11939,11.0,2,0,0,0,3,3,1,1,0,2,10,0,0,0,2,0,1
C11940,12.0,1,2,0,2,0,5,2,1,4,0,10,9,0,8,0,4,2
C11941,12.0,1,2,0,2,0,0,3,1,3,0,3,4,0,4,0,0,3
C11942,12.0,3,3,3,1,0,3,1,1,5,0,10,10,5,10,0,0,5
C11943,12.0,0,3,2,1,3,0,3,3,7,2,10,10,3,10,5,0,4
C11944,12.0,1,1,1,0,0,5,3,1,1,0,9,1,1,0,0,0,0
C11945,12.0,0,1,0,1,0,5,2,3,1,2,10,1,0,1,4,0,1
C11946,12.0,1,2,2,1,0,5,2,1,4,0,10,10,10,2,0,0,5
C11947,12.0,0,2,2,1,0,6,3,2,2,0,10,5,4,1,0,0,0
C11948,12.0,1,0,0,0,3,5,0,1,0,1,3,0,0,0,1,1,3
C11949,12.0,1,3,3,0,0,6,3,1,2,0,7,5,5,0,0,3,0
C11950,12.0,1,1,1,1,0,0,3,1,2,0,10,4,1,4,0,0,0
C11951,12.0,1,1,1,1,0,6,3,1,2,0,6,4,1,3,0,10,3
C11952,7.0,3,0,0,0,3,3,1,1,0,3,10,0,0,0,8,0,1
C11953,12.0,1,2,0,2,0,6,3,1,0,0,6,9,0,9,0,4,2
C11954,10.0,3,3,3,0,0,5,3,1,1,0,10,2,2,0,0,0,0
C11955,12.0,3,0,3,3,0,5,3,2,8,0,10,10,7,10,0,0,5
C11956,12.0,3,1,1,0,3,0,2,1,1,1,10,1,1,0,5,0,1
C11957,12.0,3,0,0,0,1,3,1,2,0,1,10,0,0,0,1,0,1
C11958,7.0,3,1,0,1,3,3,1,1,2,1,10,10,0,9,3,0,2
C11959,12.0,3,3,3,0,1,5,2,1,2,1,10,3,3,0,1,0,0
C11960,12.0,1,3,1,2,0,3,3,1,2,0,10,8,1,7,0,8,2
C11961,12.0,2,1,1,0,0,5,1,1,1,0,10,3,3,0,0,0,0
C11962,12.0,1,1,0,1,0,3,1,1,2,0,7,5,0,5,0,0,3
C11963,8.0,5,0,0,0,0,5,2,3,0,2,10,0,0,0,4,0,1
C11964,12.0,3,0,3,2,0,5,3,2,0,0,10,10,8,8,0,0,5
C11965,12.0,3,0,0,2,3,5,5,2,0,1,10,10,8,5,2,1,4
C11966,12.0,5,0,0,0,0,5,3,3,0,5,10,0,0,0,7,0,1
C11967,12.0,3,0,0,0,5,5,5,2,0,1,10,0,0,0,1,2,1
C11968,12.0,1,3,3,2,0,3,3,1,7,0,10,10,10,10,0,1,5
C11969,12.0,5,1,1,1,3,5,3,3,1,4,10,4,2,2,7,0,4
C11970,12.0,1,2,2,1,0,5,3,1,4,0,8,6,3,5,0,9,5
C11971,12.0,0,2,0,2,5,5,0,3,2,2,10,9,0,8,7,0,4
C11972,12.0,3,2,1,1,0,3,1,1,3,0,10,8,4,6,0,0,0
C11973,12.0,2,1,1,1,0,3,1,1,2,0,10,5,3,2,0,0,0
C11974,12.0,5,5,3,3,0,5,0,0,8,0,10,10,10,10,0,0,5
C11975,11.0,3,2,2,1,5,5,5,2,2,8,9,6,3,4,8,2,4
C11976,12.0,1,2,1,2,0,3,1,1,4,0,10,10,1,10,0,1,2
C11977,12.0,3,3,3,1,3,5,0,2,0,1,10,10,9,10,3,0,4
C11978,12.0,2,0,0,0,2,0,3,1,0,1,10,0,0,0,2,0,1
C11979,12.0,5,3,3,1,3,5,3,3,4,4,10,5,5,2,6,0,4
C11980,12.0,3,3,1,3,0,5,1,2,4,0,10,10,1,10,0,0,2
C11981,12.0,5,0,0,0,5,5,3,3,0,5,10,0,0,0,7,0,1
C11982,12.0,6,0,0,0,3,6,0,5,0,5,10,0,0,0,7,0,1
C11983,12.0,3,2,1,1,3,3,1,2,4,2,10,9,2,6,3,0,4
C11984,11.0,2,1,1,1,2,3,2,1,2,1,10,6,2,4,1,0,0
C11985,12.0,0,1,0,1,0,0,5,5,3,5,10,8,0,8,10,0,4
C11986,12.0,5,0,0,0,0,5,3,3,0,1,10,0,0,0,4,0,1
C11987,8.0,5,1,1,0,0,5,3,3,1,7,10,2,2,0,9,0,4
C11988,12.0,1,1,0,1,0,3,1,1,3,0,10,10,0,10,0,10,2
C11989,12.0,1,1,0,1,2,3,3,1,2,1,9,7,0,7,5,8,2
C11990,12.0,3,0,0,0,1,3,1,2,0,1,10,0,0,0,4,0,1
C11991,12.0,1,1,1,1,0,3,1,1,5,0,10,10,3,10,0,0,2
C11992,12.0,3,2,1,2,3,3,3,3,3,2,10,10,1,9,5,0,4
C11993,12.0,3,1,0,1,0,5,2,1,3,0,10,10,0,10,0,0,2
C11994,12.0,3,0,0,0,1,3,1,2,0,1,10,0,0,0,2,0,1
C11995,10.0,3,0,0,0,5,5,1,3,0,3,5,0,0,0,4,0,1
C11996,12.0,3,0,0,0,3,3,3,1,0,2,10,0,0,0,4,0,1
C11997,11.0,3,0,0,0,1,3,1,0,0,1,10,0,0,0,2,0,1
C11998,12.0,5,2,1,2,5,6,3,3,4,2,10,10,3,10,5,0,4
C11999,6.0,0,0,0,0,5,0,2,2,0,2,10,0,0,0,5,0,1
C12000,12.0,1,0,0,0,1,5,2,1,0,1,4,0,0,0,1,0,3
C12001,12.0,1,1,1,1,0,0,1,1,1,0,10,4,1,2,0,0,0
C12002,8.0,2,1,1,0,3,3,3,1,1,1,9,2,2,0,3,2,1
C12004,12.0,3,1,1,0,0,3,1,5,1,0,10,1,1,0,0,0,0
C12005,8.0,2,1,1,0,3,6,5,1,1,1,5,2,2,0,3,0,1
C12006,12.0,5,5,5,2,6,6,6,3,7,0,10,10,10,10,9,1,4
C12007,12.0,5,3,1,3,3,5,3,3,5,2,10,10,1,10,5,0,4
C12008,12.0,3,2,2,0,0,3,1,1,5,0,10,6,6,0,0,0,0
C12009,12.0,3,2,1,1,0,5,3,1,5,0,10,10,3,10,0,0,2
C12010,12.0,1,1,0,1,0,3,1,1,2,0,8,9,0,8,0,2,2
C12011,12.0,1,3,1,3,0,3,3,1,0,0,10,10,4,9,0,4,2
C12012,12.0,3,2,1,1,3,0,3,3,0,3,10,10,2,10,4,0,4
C12013,12.0,0,0,0,0,3,0,2,3,0,4,10,0,0,0,6,0,1
C12014,12.0,3,0,0,0,3,0,5,2,0,2,8,0,0,0,3,2,1
C12015,12.0,3,1,1,1,0,5,2,2,5,0,10,10,1,10,0,0,2
C12016,12.0,3,5,0,3,0,5,5,1,8,0,10,10,10,9,0,0,5
C12017,12.0,5,3,3,1,3,6,3,3,5,1,10,5,5,5,3,0,4
C12018,12.0,1,1,1,0,1,1,1,1,1,2,10,1,1,0,4,0,1
C12019,9.0,1,2,1,2,0,2,1,1,5,0,10,10,3,9,0,5,2
C12020,12.0,5,2,2,1,5,5,3,3,5,3,10,10,10,10,5,0,4
C12021,12.0,0,1,0,1,0,3,2,3,5,0,10,6,0,6,0,0,2
C12022,12.0,5,3,3,2,0,5,3,3,0,0,10,7,6,5,0,0,5
C12023,12.0,1,1,1,1,0,3,2,1,2,0,10,5,1,5,0,0,0
C12024,12.0,0,5,5,3,0,6,5,2,3,0,10,8,5,3,0,0,5
C12025,12.0,3,1,1,0,3,5,3,1,1,5,10,1,1,0,7,0,1
C12026,9.0,2,1,0,1,0,0,3,1,2,1,10,10,0,9,3,0,2
C12027,12.0,1,1,1,0,0,5,2,1,3,0,10,9,9,0,0,0,0
C12028,12.0,3,0,0,0,1,3,1,1,0,1,10,0,0,0,1,0,1
C12029,12.0,3,0,0,0,1,3,3,1,0,1,10,0,0,0,2,0,1
C12030,12.0,1,1,0,1,0,3,1,1,3,0,10,10,0,10,0,1,2
C12031,12.0,0,3,0,3,0,5,2,3,5,0,10,8,0,7,0,0,2
C12032,12.0,1,1,1,0,3,3,5,2,1,1,4,1,1,0,3,5,3
C12033,11.0,1,1,0,1,0,5,1,1,1,0,6,5,0,5,0,5,3
C12034,8.0,3,0,0,0,0,3,3,1,0,2,9,0,0,0,4,2,1
C12035,12.0,3,3,0,3,1,3,3,3,2,1,10,4,0,3,1,0,2
C12036,12.0,3,3,1,2,0,5,2,2,0,0,10,10,3,10,0,0,2
C12037,12.0,3,0,0,0,0,0,2,2,0,2,6,0,0,0,3,0,1
C12038,12.0,1,2,2,1,0,5,2,1,4,0,10,10,10,1,0,2,5
C12039,12.0,0,1,1,0,1,6,3,3,2,1,10,5,5,0,1,0,0
C12040,12.0,1,1,1,1,0,5,1,1,3,0,10,9,2,7,0,2,2
C12041,12.0,1,1,0,1,0,3,1,1,2,0,2,9,0,9,0,0,3
C12042,12.0,1,3,3,2,0,5,3,1,5,0,10,10,10,5,0,1,5
C12043,12.0,3,1,1,0,1,3,2,3,1,1,10,1,1,0,3,0,1
C12044,12.0,3,3,3,0,0,3,2,2,1,0,10,1,1,0,0,0,0
C12045,12.0,1,2,1,1,0,0,2,1,2,0,6,3,2,2,0,0,3
C12046,12.0,5,3,2,1,5,6,6,3,4,2,10,10,10,5,5,0,4
C12047,12.0,3,0,0,0,2,5,3,2,0,1,10,0,0,0,4,0,1
C12048,12.0,1,2,0,2,0,3,3,1,4,0,10,10,0,10,0,10,2
C12049,12.0,2,0,0,1,1,0,5,1,0,1,10,10,9,10,1,2,2
C12050,12.0,3,0,0,0,3,0,2,2,0,1,10,0,0,0,1,0,1
C12051,12.0,5,0,0,0,5,5,6,0,0,3,10,0,0,0,3,0,1
C12052,12.0,3,1,1,1,0,2,2,5,3,0,10,10,1,10,0,0,2
C12053,12.0,3,2,2,0,0,3,2,3,3,0,10,8,8,0,0,0,0
C12054,12.0,3,6,6,0,0,3,6,1,8,0,10,10,10,10,0,10,5
C12055,12.0,3,1,1,0,1,3,2,2,1,1,10,1,1,0,2,0,1
C12056,6.0,3,2,2,0,0,3,2,3,3,0,10,10,10,0,0,0,0
C12057,12.0,3,1,1,0,2,0,3,1,1,1,9,2,2,0,2,2,1
C12058,12.0,1,1,1,0,0,5,1,1,1,0,3,1,1,0,0,0,3
C12059,9.0,1,3,1,2,1,3,2,1,4,1,8,8,5,7,2,6,2
C12060,12.0,3,3,3,1,1,5,2,3,5,1,10,10,8,8,2,0,5
C12061,12.0,3,0,0,0,1,3,1,2,0,1,10,0,0,0,3,0,1
C12062,12.0,1,1,1,1,0,3,1,1,3,0,10,7,1,6,0,3,2
C12063,12.0,1,0,0,0,0,6,5,1,0,1,3,0,0,0,1,0,3
C12064,12.0,5,0,0,0,3,5,3,3,0,1,10,0,0,0,2,0,1
C12065,12.0,3,0,0,0,1,3,2,2,0,1,10,0,0,0,1,0,1
C12066,12.0,5,0,0,0,0,6,3,0,0,3,10,0,0,0,6,0,1
C12067,12.0,3,3,1,2,0,6,3,1,3,0,10,6,2,5,0,0,0
C12068,12.0,2,3,3,0,0,3,1,1,1,0,10,1,1,0,0,0,0
C12069,12.0,0,1,1,0,0,6,3,3,1,0,10,1,1,0,0,0,0
C12070,12.0,3,2,0,2,1,3,2,2,5,1,10,10,0,10,1,0,2
C12071,7.0,0,0,0,0,0,0,1,2,0,2,9,0,0,0,3,0,1
C12072,12.0,1,3,2,2,0,3,1,1,3,0,10,6,4,5,0,0,0
C12073,12.0,2,1,1,1,2,2,1,1,3,1,10,5,3,3,2,0,0
C12074,12.0,2,2,2,1,0,5,3,1,1,0,8,3,1,2,0,0,0
C12075,12.0,1,3,1,3,0,0,5,2,5,0,10,10,1,10,0,1,2
C12076,12.0,3,1,1,1,0,0,1,2,2,0,10,4,1,3,0,0,0
C12077,12.0,3,0,0,0,0,5,5,1,0,1,10,0,0,0,3,0,1
C12078,12.0,5,5,0,0,0,6,5,3,8,0,10,10,10,10,0,0,5
C12079,12.0,3,3,2,3,2,5,3,1,0,1,10,10,6,10,4,0,4
C12080,12.0,1,1,1,0,0,6,5,1,1,0,3,5,5,0,0,0,3
C12081,12.0,3,3,2,3,2,0,2,2,7,1,10,10,4,10,4,0,5
C12082,12.0,3,0,0,0,3,5,2,2,0,1,10,0,0,0,3,0,1
C12083,12.0,5,1,0,1,5,5,3,3,2,0,10,9,0,8,10,0,4
C12084,12.0,2,1,0,1,0,3,3,1,2,0,10,7,0,6,0,0,2
C12085,12.0,3,2,2,0,0,0,1,1,3,0,10,10,10,0,0,0,0
C12086,12.0,3,3,1,3,2,2,0,0,0,1,10,10,1,10,1,1,2
C12087,12.0,2,5,0,3,0,5,5,1,8,0,10,10,10,10,0,10,5
C12088,12.0,0,5,5,0,0,5,5,2,8,0,10,10,10,10,0,0,5
C12089,12.0,1,1,1,0,0,6,3,2,1,0,2,1,1,0,0,0,3
C12090,12.0,1,1,1,0,0,5,0,1,1,0,10,1,1,0,0,0,0
C12091,12.0,3,3,3,0,3,0,1,2,3,1,10,8,8,0,3,0,0
C12092,12.0,1,0,0,0,0,0,0,1,5,0,10,5,5,0,0,8,0
C12093,12.0,2,1,1,1,0,5,3,1,3,0,7,7,5,4,0,0,0
C12094,12.0,2,3,0,3,0,3,3,1,4,0,10,10,0,10,0,0,2
C12095,12.0,3,2,0,2,3,3,3,1,3,1,10,9,0,8,1,1,2
C12096,12.0,1,2,1,1,0,6,2,1,3,0,10,10,2,7,0,6,2
C12097,12.0,5,3,2,1,0,5,0,3,4,4,10,2,2,1,10,0,4
C12098,12.0,3,0,0,0,1,3,2,1,0,2,10,0,0,0,3,0,1
C12099,12.0,0,0,0,0,2,0,3,3,0,1,10,0,0,0,1,0,1
C12100,12.0,3,1,1,1,1,3,2,2,5,1,10,10,2,10,2,0,2
C12101,12.0,5,0,0,0,3,5,3,0,0,2,10,0,0,0,1,0,1
C12102,8.0,3,1,1,0,0,0,1,3,1,3,7,2,2,0,3,0,1
C12103,12.0,3,3,2,3,3,0,3,3,7,2,10,10,4,10,4,0,4
C12104,12.0,3,1,0,1,0,3,1,1,1,0,10,5,0,4,0,0,0
C12105,12.0,3,1,0,1,0,2,2,2,3,0,10,10,0,10,0,0,2
C12107,12.0,3,1,1,0,3,3,3,1,1,4,10,1,1,0,4,0,1
C12108,12.0,3,1,1,0,5,3,0,1,1,2,10,1,1,0,3,1,1
C12109,12.0,3,2,2,0,0,5,2,2,1,2,10,2,2,0,5,0,1
C12110,12.0,0,5,3,0,0,0,5,0,8,2,10,10,6,10,2,1,5
C12111,12.0,1,3,3,0,0,3,3,1,5,0,10,10,10,0,0,10,5
C12112,10.0,0,1,0,1,5,5,2,3,1,2,9,3,0,2,4,0,1
C12113,12.0,3,0,0,0,1,3,1,1,0,1,10,0,0,0,1,0,1
C12114,12.0,0,0,0,0,1,0,5,3,0,1,10,0,0,0,5,1,1
C12115,12.0,5,5,0,3,0,6,6,3,8,0,10,10,10,10,0,0,5
C12116,12.0,1,1,0,1,0,1,1,1,2,0,6,5,0,5,0,8,3
C12117,12.0,0,1,1,1,0,5,2,2,2,0,10,4,2,3,0,0,0
C12118,12.0,3,5,0,3,0,5,0,2,7,0,10,10,6,10,0,0,5
C12119,12.0,0,0,0,1,0,6,0,2,4,0,10,9,7,2,0,0,0
C12120,12.0,2,0,0,0,3,3,1,2,0,1,4,0,0,0,1,0,3
C12121,12.0,3,1,1,1,0,3,2,1,2,0,10,4,2,2,0,0,0
C12122,12.0,0,1,1,0,3,5,2,3,1,1,10,2,2,0,3,0,1
C12124,12.0,3,0,3,3,0,3,0,2,5,0,10,10,5,10,0,0,5
C12125,7.0,1,2,1,1,1,3,0,1,1,1,2,2,2,2,2,0,3
C12127,12.0,1,0,0,0,3,3,3,1,0,1,10,0,0,0,2,1,1
C12128,7.0,3,0,0,0,0,5,1,2,0,2,9,0,0,0,5,0,1
C12129,12.0,3,1,1,0,0,5,2,3,1,0,10,1,1,0,0,0,0
C12130,12.0,3,1,1,0,0,3,2,1,1,0,10,3,3,0,0,0,0
C12131,7.0,3,1,0,1,0,5,5,1,1,1,10,3,0,2,5,0,1
C12132,12.0,3,1,1,1,0,3,2,2,1,0,10,2,2,1,0,0,0
C12133,12.0,1,3,1,3,0,5,3,1,8,0,10,10,1,10,0,10,2
C12134,12.0,1,0,0,0,0,5,5,1,1,0,9,4,4,0,0,10,0
C12135,12.0,1,2,1,2,1,0,2,1,0,1,10,10,1,10,1,0,2
C12136,12.0,0,0,0,0,0,5,3,3,0,5,10,0,0,0,10,0,1
C12137,12.0,2,0,0,1,0,3,3,1,7,0,10,10,8,9,0,4,2
C12138,12.0,0,1,0,1,2,0,3,3,2,2,10,6,0,5,5,0,4
C12139,12.0,1,1,0,1,0,3,1,1,1,0,3,2,0,2,0,0,3
C12140,12.0,2,0,0,1,3,5,5,1,0,1,10,10,6,9,2,1,4
C12141,11.0,3,1,1,0,5,3,0,2,1,3,9,1,1,0,3,2,1
C12142,12.0,1,1,0,1,0,3,1,1,3,0,10,10,0,10,0,8,2
C12143,12.0,3,5,0,1,0,5,6,2,7,0,10,10,10,6,0,0,5
C12144,12.0,3,2,2,0,0,0,2,1,1,0,10,1,1,0,0,0,0
C12145,12.0,5,2,1,2,3,6,3,3,5,2,10,10,1,10,5,0,4
C12146,12.0,5,2,2,1,5,6,3,3,3,2,10,9,3,8,5,0,4
C12147,12.0,3,3,3,3,0,5,3,1,5,0,10,8,6,5,0,0,5
C12148,12.0,3,0,3,3,0,5,3,2,0,0,10,10,5,10,0,0,5
C12149,12.0,1,0,0,0,3,5,2,1,0,1,10,0,0,0,4,0,1
C12150,12.0,3,0,3,2,0,3,3,1,3,0,10,10,1,10,0,1,2
C12151,12.0,3,1,0,1,0,3,1,1,1,0,10,3,0,2,0,0,0
C12152,11.0,0,2,1,1,3,6,3,2,4,2,10,10,8,4,6,0,4
C12153,12.0,3,3,0,3,0,0,0,3,1,2,5,5,0,4,3,0,2
C12154,12.0,6,0,3,3,0,6,3,3,8,0,10,10,10,10,0,0,5
C12155,12.0,2,0,0,0,3,5,2,1,0,1,10,0,0,0,5,0,1
C12156,12.0,5,1,1,0,3,6,3,3,1,1,10,3,3,0,1,0,1
C12157,7.0,1,0,0,0,3,3,3,1,0,1,6,0,0,0,2,5,1
C12158,12.0,0,0,0,2,6,5,6,3,7,3,10,8,8,3,5,2,4
C12159,12.0,2,1,0,1,0,2,1,2,3,0,10,10,0,10,0,0,2
C12160,12.0,1,3,1,3,0,6,3,1,0,0,10,10,6,10,0,8,5
C12161,12.0,3,0,3,3,0,5,0,2,7,2,10,10,3,10,3,0,5
C12162,10.0,1,0,0,0,1,5,2,1,0,1,9,0,0,0,3,3,1
C12163,6.0,2,0,0,0,3,3,1,1,0,1,7,0,0,0,4,0,1
C12164,10.0,3,1,1,0,0,3,1,1,1,0,10,1,1,0,0,0,0
C12165,12.0,1,1,0,1,0,3,1,1,1,0,7,5,0,5,0,6,3
C12166,12.0,3,0,0,0,2,5,3,2,0,1,10,0,0,0,2,0,1
C12167,12.0,0,0,0,0,6,6,6,2,0,4,10,0,0,0,5,3,1
C12168,12.0,1,2,1,2,0,6,2,1,2,0,6,5,2,5,0,4,2
C12169,12.0,3,2,2,1,0,5,1,1,2,0,10,5,5,1,0,0,0
C12170,12.0,1,1,1,0,0,3,1,1,1,0,10,1,1,0,0,0,0
C12171,12.0,3,0,0,0,1,3,2,2,0,1,10,0,0,0,3,0,1
C12172,12.0,0,0,0,0,0,5,3,2,0,1,10,0,0,0,3,0,1
C12173,12.0,1,2,1,2,0,6,2,1,4,0,10,10,10,3,0,10,5
C12174,12.0,3,0,0,0,1,3,2,2,0,2,10,0,0,0,7,0,1
C12175,12.0,1,3,3,2,0,3,3,1,7,0,10,10,10,10,0,8,5
C12176,12.0,1,2,1,2,0,0,3,1,5,0,10,10,2,10,0,5,2
C12177,12.0,3,0,0,0,1,3,2,2,0,1,10,0,0,0,4,0,1
C12178,12.0,2,3,3,1,0,3,3,1,0,0,10,9,5,7,0,0,5
C12179,12.0,2,2,2,0,0,5,2,3,1,0,10,1,1,0,0,0,0
C12180,12.0,0,3,3,0,1,0,3,3,3,1,10,2,2,0,2,0,0
C12181,12.0,2,3,1,3,0,5,3,1,7,0,10,10,10,10,0,0,5
C12182,12.0,1,3,2,1,0,5,3,1,5,0,10,10,10,4,0,7,5
C12183,9.0,3,0,0,0,2,3,1,1,0,1,10,0,0,0,2,0,1
C12184,12.0,3,0,0,0,3,0,3,1,0,1,10,0,0,0,1,0,1
C12185,12.0,3,0,0,0,3,3,1,1,0,2,10,0,0,0,5,0,1
C12186,12.0,0,0,0,0,0,5,3,3,0,1,10,0,0,0,4,0,1
C12187,12.0,3,0,0,0,3,3,3,1,0,1,10,0,0,0,1,0,1
C12188,12.0,3,2,0,2,0,3,2,1,2,0,10,9,0,8,0,0,2
C12189,12.0,3,1,1,0,1,3,1,1,1,1,10,2,2,0,5,0,1
C12190,12.0,3,2,2,1,0,3,3,3,5,0,10,10,5,10,0,0,5
C12191,12.0,1,3,1,3,0,5,3,1,5,0,10,10,4,10,0,9,5
C12192,12.0,1,1,1,1,0,3,2,1,4,0,9,6,2,4,0,7,2
C12194,12.0,1,3,3,1,0,3,3,1,1,0,10,2,1,1,0,0,0
C12195,12.0,1,2,0,2,0,5,3,1,2,0,10,5,0,5,0,5,2
C12196,12.0,1,0,2,0,0,5,0,1,7,0,10,10,10,10,0,8,5
C12197,12.0,3,1,1,1,1,3,2,2,1,1,10,4,1,2,2,0,0
C12198,12.0,5,0,0,0,0,5,3,3,0,3,10,0,0,0,7,0,1
C12199,12.0,1,0,3,3,0,5,0,1,0,0,10,10,10,10,0,9,5
C12200,12.0,1,1,1,0,0,3,1,1,1,0,10,1,1,0,0,0,0
